fr_Subject,fr_Predicate,fr_Object,Triple_ID,fr_Subject_concept,fr_Predicate_concept,fr_Object_concept
enquete,constituer,loi nationale,directive_(eu)_2016_1919_en.txt,-,-,loi:nationalisme:nationalite
16 directive,pose,regles minimales,directive_(eu)_2016_1919_en.txt,directive,-,-
actes de preuve,etre capable,dans la directive,directive_(eu)_2016_1919_en.txt,preuve,-,directive
quand les interets,sont,de la justice,directive_(eu)_2016_1919_en.txt,interet,-,-
Etats membres,permet,test de moyens,directive_(eu)_2016_1919_en.txt,-,-,-
procedural qui,limite,ecthr,directive_(eu)_2016_1919_en.txt,-,-,-
18 Etats membres,poser,l'aide juridique,directive_(eu)_2016_1919_en.txt,-,-,-
l'aide juridique,determiner,par suspect,directive_(eu)_2016_1919_en.txt,-,-,-
demande,etre,accorder l'aide juridictionnelle,directive_(eu)_2016_1919_en.txt,-,-,juridiction
actes de preuve d'enquete,subvention juridique,dans la directive,directive_(eu)_2016_1919_en.txt,preuve,-,directive
actes de preuve d'enquete,accorder,un tel questionnement,directive_(eu)_2016_1919_en.txt,preuve,-,-
interpretation,prendre en,de directive,directive_(eu)_2016_1919_en.txt,interpretation,-,directive
personnes demandees,ont,Etat membre d'execution,directive_(eu)_2016_1919_en.txt,personnel,-,-
aide juridique,ont,de charte,directive_(eu)_2016_1919_en.txt,acide,-,-
ou avocat,etre,Etat membre emetteur,directive_(eu)_2016_1919_en.txt,avocat,-,-
ce,pris par,directive d'execution,directive_(eu)_2016_1919_en.txt,-,-,directive
decision remise,assurer,les rendre,directive_(eu)_2016_1919_en.txt,decision,-,-
Etats membres,assurer,echr,directive_(eu)_2016_1919_en.txt,-,-,-
ils le font,respect,dans les systemes de justice penale,directive_(eu)_2016_1919_en.txt,fonte,-,-
autorite competente,decider,accorder une aide juridique,directive_(eu)_2016_1919_en.txt,autoroute,-,acide
independant que,etre,y compris juge,directive_(eu)_2016_1919_en.txt,-,-,juge
jusqu'ici ca,etre possible,en temps opportun,directive_(eu)_2016_1919_en.txt,-,-,-
Sens Unique,est,representation legale,directive_(eu)_2016_1919_en.txt,-,-,legalite
Etats membres,faciliter,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt,-,-,mandat:procedure civile:procedure penale:mandat darret europeen
une formation adequate,fourni,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt,information,four,mandat:procedure civile:procedure penale:mandat darret europeen
ce,demande,l'aide juridique,directive_(eu)_2016_1919_en.txt,-,-,-
Etats membres,a besoin,droit syndical,directive_(eu)_2016_1919_en.txt,-,-,syndicat:droit fiscal:droit medical:droit social:droits syndicaux
disposition compromise,etre disponible,partie entiere,directive_(eu)_2016_1919_en.txt,-,-,-
-,est,dans la directive,directive_(eu)_2016_1919_en.txt,-,-,directive
ou demande,inclure,l'aide juridique,directive_(eu)_2016_1919_en.txt,-,-,-
donnees,collecte,personnes demandees,directive_(eu)_2016_1919_en.txt,-,collectivisme,personnel
29 directive,postuler a,statut legal,directive_(eu)_2016_1919_en.txt,directive,-,legalite
Etats membres,respect,comme course,directive_(eu)_2016_1919_en.txt,-,-,commune
directif,soutient,de defense,directive_(eu)_2016_1919_en.txt,directive,-,depense
directif,mis en oeuvre dans,avec droits,directive_(eu)_2016_1919_en.txt,directive,mais,-
30 directive,pose,regles minimales,directive_(eu)_2016_1919_en.txt,directive,-,-
Etats membres,etre capable,de protection,directive_(eu)_2016_1919_en.txt,-,-,protectionnisme
regles minimales,constituer,ce,directive_(eu)_2016_1919_en.txt,-,-,-
niveau,tomber en dessous,ecthr,directive_(eu)_2016_1919_en.txt,-,-,-
syndicat,adopter,sur l'union europeenne,directive_(eu)_2016_1919_en.txt,syndicat,-,-
au-dela de quoi,aller au-dela,atteindre l'objectif,directive_(eu)_2016_1919_en.txt,-,allergie,-
Etats membres,prise,son application,directive_(eu)_2016_1919_en.txt,-,-,-
Danemark,prise,directif,directive_(eu)_2016_1919_en.txt,-,-,directive
b qui,pose,a la decision-cadre,directive_(eu)_2016_1919_en.txt,-,-,decision-cadre
directif,complements,directives,directive_(eu)_2016_1919_en.txt,directive,-,directive
rien,interprete comme,dans les directives,directive_(eu)_2016_1919_en.txt,-,interet:commune,directive
OMS,2,de la criminalite,directive_(eu)_2016_1919_en.txt,-,-,criminalite
OMS,s'applique,UE .,directive_(eu)_2016_1919_en.txt,-,-,-
OMS,s'applique,autorite chargee de l'application de la loi,directive_(eu)_2016_1919_en.txt,-,-,autoroute:chargement:loi
directif,s'applique,affaires criminelles,directive_(eu)_2016_1919_en.txt,directive,-,-
quand la decision,s'applique,de la procedure,directive_(eu)_2016_1919_en.txt,decision,-,-
l'aide juridique,moyens,a l'avocat,directive_(eu)_2016_1919_en.txt,-,-,-
quand les interets,article,de la justice,directive_(eu)_2016_1919_en.txt,interet,-,-
aide au fond juridique,appliquer,avec paragraphe,directive_(eu)_2016_1919_en.txt,acide,-,-
suspect,prendre en,d'avocat,directive_(eu)_2016_1919_en.txt,-,-,-
determiner les interets,prendre en,besoin d'aide juridique,directive_(eu)_2016_1919_en.txt,interet,-,-
ou suspect,juge,b detention,directive_(eu)_2016_1919_en.txt,-,juge,-
actes d'enquete,assurer,de l'article,directive_(eu)_2016_1919_en.txt,-,-,-
personne,accorde,infraction penale commise,directive_(eu)_2016_1919_en.txt,personnel,-,inflation:information:infraction:communisme
-,article,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt,-,-,mandat:procedure civile:procedure penale:mandat darret europeen
l'aide juridique,assurer,a la justice,directive_(eu)_2016_1919_en.txt,-,-,-
4(3 qui,faire l'objet,mutatis mutandis,directive_(eu)_2016_1919_en.txt,-,-,-
-,-,l'aide juridique,directive_(eu)_2016_1919_en.txt,-,-,-
les decisions,fait,autorite competente,directive_(eu)_2016_1919_en.txt,decision,-,autoroute
autorite competente,prendre ce qu'il faut,de defense,directive_(eu)_2016_1919_en.txt,autoroute,-,depense
leur demande,prendre necessaire,partie entiere,directive_(eu)_2016_1919_en.txt,-,-,-
-,article,services d'aide juridique,directive_(eu)_2016_1919_en.txt,-,-,service
services d'aide juridique,prendre necessaire,profession legale,directive_(eu)_2016_1919_en.txt,service,-,legalite:profession liberale
une formation adequate,assurer,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt,information,-,mandat:procedure civile:procedure penale:mandat darret europeen
Etats membres,prendre ce qu'il faut,services d'aide juridique,directive_(eu)_2016_1919_en.txt,-,-,service
circonstances remplacees specifiques,prendre,pour eux,directive_(eu)_2016_1919_en.txt,-,-,-
suspects,assurer,sous directive,directive_(eu)_2016_1919_en.txt,-,-,directive
besoins particuliers,assurer,de directive,directive_(eu)_2016_1919_en.txt,-,-,directive
comment les droits,.,dans la directive,directive_(eu)_2016_1919_en.txt,-,-,directive
par la suite commission,soumettre,conseil,directive_(eu)_2016_1919_en.txt,commissionnaire,-,-
commission,evaluer,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt,commissionnaire,-,mandat:procedure civile:procedure penale:mandat darret europeen
qui,interprete comme,de protection,directive_(eu)_2016_1919_en.txt,-,interet:commune,protectionnisme
Etats membres,Amener dans,25 mai,directive_(eu)_2016_1919_en.txt,-,amende,mais
ils,informer,commission immediate,directive_(eu)_2016_1919_en.txt,-,-,commissionnaire
ils,contenir,publication officielle,directive_(eu)_2016_1919_en.txt,-,conteneur,publication
methodes,pose,Etats membres,directive_(eu)_2016_1919_en.txt,-,-,-
ils,communiquer a,directive couverte,directive_(eu)_2016_1919_en.txt,-,commune,directive
directif,entrer dans,de l'union europeenne,directive_(eu)_2016_1919_en.txt,directive,-,-
14 destinataires,adressee a,avec des traites,directive_(eu)_2016_1919_en.txt,-,-,-
-,fait a,a strasbourg,directive_(eu)_2016_1919_en.txt,-,-,-
-,president,pour le conseil,directive_(eu)_2016_1919_en.txt,-,-,-
-,president,-,directive_(eu)_2016_1919_en.txt,-,-,-
1 presomption,directives,des droits de l'homme,directive_(eu)_2016_343_en.txt,-,directive,droits de lhomme
2 union,ensemble,de liberte,directive_(eu)_2016_343_en.txt,-,-,-
reconnaissance mutuelle,faciliter,droits individuels,directive_(eu)_2016_343_en.txt,-,-,-
principe,devenir,au sein du syndicat,directive_(eu)_2016_343_en.txt,-,-,syndicat
cooperation judiciaire,est,des jugements,directive_(eu)_2016_343_en.txt,cooperant:cooperative:cooperation judiciaire:cooperation juridique:cooperation militaire,-,jugement
-,c,-,directive_(eu)_2016_343_en.txt,-,-,-
-,position de,de l'union europeenne,directive_(eu)_2016_343_en.txt,-,position dominante,-
Etats membres,repose sur,systemes de justice penale,directive_(eu)_2016_343_en.txt,-,-,-
qui,est dependant,de principe,directive_(eu)_2016_343_en.txt,-,-,-
ce,montre,autres Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
conseil de 2009,.,1 feuille de route,directive_(eu)_2016_343_en.txt,-,-,-
accuse qui,appels pour,pour les suspects de mesure,directive_(eu)_2016_343_en.txt,accise,-,-
il,accueilli,au service des citoyens,directive_(eu)_2016_343_en.txt,-,-,service
autres issues,souligne,dans la zone,directive_(eu)_2016_343_en.txt,-,-,-
trois mesures,8),conseil,directive_(eu)_2016_343_en.txt,-,-,-
9 but,est,present au proces actuel,directive_(eu)_2016_343_en.txt,-,-,-
directive accuse,objectifs,affaires criminelles,directive_(eu)_2016_343_en.txt,directive:accise,-,-
regles minimales communes,retirer,des Etats membres,directive_(eu)_2016_343_en.txt,commune:communisme,-,-
11 directive,appliquer,des droits de l'homme,directive_(eu)_2016_343_en.txt,directive,-,droits de lhomme
ou ce dernier,appliquer au civil,de telles procedures,directive_(eu)_2016_343_en.txt,-,-,-
OMS,appliquer au naturel,procedure penale,directive_(eu)_2016_343_en.txt,-,-,procedure penale:procedure speciale
il,postuler a partir de,notification officielle,directive_(eu)_2016_343_en.txt,-,-,-
personne suspecte,postuler a,infraction penale commise,directive_(eu)_2016_343_en.txt,personnel:personne seule,-,inflation:information:infraction:communisme
disponible seulement decision disponible,tomber dans,de directive,directive_(eu)_2016_343_en.txt,decision,-,directive
-,directif,procedure penale,directive_(eu)_2016_343_en.txt,-,directive,procedure penale:procedure speciale
tierce personne,directif,de liberte,directive_(eu)_2016_343_en.txt,personnel,directive,-
13 directive,reconnait,personnes physiques,directive_(eu)_2016_343_en.txt,directive,-,personnel:personne physique
une telle protection,reflete dans bien etabli,des droits de l'homme,directive_(eu)_2016_343_en.txt,protectionnisme,-,droits de lhomme
ils,reconnu,personnes physiques,directive_(eu)_2016_343_en.txt,-,-,personnel:personne physique
il,est premature,personnes morales,directive_(eu)_2016_343_en.txt,-,-,personnel:personne morale
directif,s'appliquer au juridique,personnes morales,directive_(eu)_2016_343_en.txt,directive,-,personnel:personne morale
ce,etre sans,personnes morales,directive_(eu)_2016_343_en.txt,-,-,personnel:personne morale
evolution du cas,assure par,pour l'action syndicale,directive_(eu)_2016_343_en.txt,-,assurance,syndicat:election syndicale
aussi longue personne,viole,a la loi,directive_(eu)_2016_343_en.txt,personnel,violence,loi
personne,refleter,pas d'avis,directive_(eu)_2016_343_en.txt,personnel,-,-
droits fournis,etre sans,de defense,directive_(eu)_2016_343_en.txt,fournisseur,-,depense
de telles decisions,etre sans,suspect referer la personne,directive_(eu)_2016_343_en.txt,decision,-,refere:personnel
decision concernee,ont,aux elements,directive_(eu)_2016_343_en.txt,decision,-,-
compris cela,compris,concernant l'immunite,directive_(eu)_2016_343_en.txt,-,-,-
lors des poursuites,empecher le public,troubles a l'ordre public,directive_(eu)_2016_343_en.txt,-,publicite,publicite:ordre public
ce,confine a,en compte,directive_(eu)_2016_343_en.txt,-,-,comptable:compte:comte
est coupable il,creer,a la loi,directive_(eu)_2016_343_en.txt,-,-,loi
des personnes si longues,prendre ce qu'il faut,a la loi,directive_(eu)_2016_343_en.txt,personnel,-,loi
Etats membres,informer le public,aux medias,directive_(eu)_2016_343_en.txt,-,publicite,-
ce,etre sans,de la presse,directive_(eu)_2016_343_en.txt,-,-,presse
utilisation des jambes,s'abstenir de,comme temoins,directive_(eu)_2016_343_en.txt,utilisation des terres,-,commune
autorites competentes,impliquer,de telles mesures,directive_(eu)_2016_343_en.txt,-,-,-
-,-,de l'union europeenne,directive_(eu)_2016_343_en.txt,-,-,-
personnes,s'abstenir de,eviter l'impression,directive_(eu)_2016_343_en.txt,personnel,-,-
doute,est sur,suspect,directive_(eu)_2016_343_en.txt,-,-,-
fardeau,enfreint,personne suspecte,directive_(eu)_2016_343_en.txt,-,-,personnel:personne seule
moyens,confine dans des limites raisonnables,objectif legitime proportionne,directive_(eu)_2016_343_en.txt,-,-,legitimite
ou les droits,etre refutable,de defense,directive_(eu)_2016_343_en.txt,-,-,depense
seules poursuites,charge de,recherche de preuves a charge,directive_(eu)_2016_343_en.txt,-,-,recherche:preuve
a condition qu'il,etre capable,droit syndical,directive_(eu)_2016_343_en.txt,-,-,syndicat:droit fiscal:droit medical:droit social:droits syndicaux
24 a droite,est,de l'auto-incrimination,directive_(eu)_2016_343_en.txt,-,-,-
25 a droite,est,de l'innocence,directive_(eu)_2016_343_en.txt,-,-,-
qui,force,a l'auto-incrimination,directive_(eu)_2016_343_en.txt,-,-,-
personne,postuler a,personne suspecte,directive_(eu)_2016_343_en.txt,personnel,-,personnel:personne seule
personnes,impliquer,informations sur l'accuse,directive_(eu)_2016_343_en.txt,personnel,-,information
pretation inter violee,pris dans,en compte,directive_(eu)_2016_343_en.txt,interet:violence,-,comptable:compte:comte
personne,utilise contre,infraction penale,directive_(eu)_2016_343_en.txt,personnel,-,inflation:information:infraction
qui,prevenir,des tests ADN,directive_(eu)_2016_343_en.txt,-,-,-
a condition que cela,empecher,proces equitable,directive_(eu)_2016_343_en.txt,-,-,-
il,considerer,avec directives,directive_(eu)_2016_343_en.txt,-,-,directive
33 a droite,est,societe democratique,directive_(eu)_2016_343_en.txt,-,-,societe:democratie
droite,base sur,tout au long de l'union,directive_(eu)_2016_343_en.txt,-,-,-
ils,ont,loi nationale,directive_(eu)_2016_343_en.txt,-,-,loi:nationalisme:nationalite
35 a droite,est,present au proces actuel,directive_(eu)_2016_343_en.txt,-,-,-
suspects,etre capable,pouvoir expressement pouvoir droit,directive_(eu)_2016_343_en.txt,-,-,-
meme personne,etre possible,present au proces actuel,directive_(eu)_2016_343_en.txt,personnel,-,-
ou suspect,etre,de non-apparition,directive_(eu)_2016_343_en.txt,-,-,-
ce,compris,conscient du proces conscient,directive_(eu)_2016_343_en.txt,-,-,-
il a remis,compris,au proces,directive_(eu)_2016_343_en.txt,-,-,-
OMS,etre possible,personne suspecte,directive_(eu)_2016_343_en.txt,-,-,personnel:personne seule
attention particuliere,versee a,a lui,directive_(eu)_2016_343_en.txt,-,-,-
l'a fui,etre possible,decision,directive_(eu)_2016_343_en.txt,-,-,decision
ils ont apprehende,assurer,Remede legal,directive_(eu)_2016_343_en.txt,-,-,legalite
de telles informations,Fourni dans,en cours d'ecriture,directive_(eu)_2016_343_en.txt,information,four,-
information,fourni,loi nationale,directive_(eu)_2016_343_en.txt,desinformation:information:infraction,four,loi:nationalisme:nationalite
ou ce,autorise,procedure penale,directive_(eu)_2016_343_en.txt,-,-,procedure penale:procedure speciale
presence,etre,de temoin,directive_(eu)_2016_343_en.txt,-,-,-
une audience,exerce,present au proces actuel,directive_(eu)_2016_343_en.txt,-,-,-
regles d'application nationales,moyens,pour entendre,directive_(eu)_2016_343_en.txt,nationalisme:nationalite,-,entente
regles nationales,conformer a,proces equitable,directive_(eu)_2016_343_en.txt,nationalisme:nationalite,-,-
audience,est,dans lequel,directive_(eu)_2016_343_en.txt,-,-,-
besoins particuliers,assurer,pris en compte pris en compte,directive_(eu)_2016_343_en.txt,-,-,comptable:compte:comte:comptable:compte:comte
mentale ils,compris,a leur age,directive_(eu)_2016_343_en.txt,metal,-,-
43 enfants,sont vulnerables,de protection,directive_(eu)_2016_343_en.txt,enfant,-,protectionnisme
garanties procedurales,etabli,dans la directive,directive_(eu)_2016_343_en.txt,garantie,-,directive
Etats membres,a besoin,droit syndical,directive_(eu)_2016_343_en.txt,-,-,syndicat:droit fiscal:droit medical:droit social:droits syndicaux
enfreindre,ont,de defense,directive_(eu)_2016_343_en.txt,-,-,depense
tribunaux,respect,de la procedure,directive_(eu)_2016_343_en.txt,-,-,-
rendre la procedure,devait,dans son ensemble,directive_(eu)_2016_343_en.txt,-,-,-
declaration,invoque comme,comme preuve,directive_(eu)_2016_343_en.txt,-,commune,commune:preuve
Etats membres,envoyer disponible,commission,directive_(eu)_2016_343_en.txt,-,-,commissionnaire
ces donnees,inclure,present au proces actuel,directive_(eu)_2016_343_en.txt,-,-,-
47 directive,soutient,de defense,directive_(eu)_2016_343_en.txt,directive,-,depense
ils,avait,du droit syndical,directive_(eu)_2016_343_en.txt,-,-,syndicat:droit fiscal:droit medical:droit social:droits syndicaux
Etats membres,etre capable,de protection,directive_(eu)_2016_343_en.txt,-,-,protectionnisme
niveau,tomber en dessous,des droits de l'homme,directive_(eu)_2016_343_en.txt,-,-,droits de lhomme
syndicat,adopter,5 evp,directive_(eu)_2016_343_en.txt,syndicat,-,-
au-dela de quoi,aller au-dela,atteindre les objectifs,directive_(eu)_2016_343_en.txt,-,allergie,-
Etats membres,prise,son application,directive_(eu)_2016_343_en.txt,-,-,-
Danemark,prise,directif,directive_(eu)_2016_343_en.txt,-,-,directive
directif,pose,procedure penale,directive_(eu)_2016_343_en.txt,directive,-,procedure penale:procedure speciale
OMS,s'applique au naturel,procedure penale,directive_(eu)_2016_343_en.txt,-,-,procedure penale:procedure speciale
de personne,s'applique a,infraction penale commise,directive_(eu)_2016_343_en.txt,personnel,-,inflation:information:infraction:communisme
suspects,assurer,a la loi,directive_(eu)_2016_343_en.txt,-,-,loi
declarations publiques,prendre,referer a referer la personne,directive_(eu)_2016_343_en.txt,declaration publique,-,refere:refere:personnel
qui,etre sans,soupconne,directive_(eu)_2016_343_en.txt,-,-,-
Mesures appropriees,assurer,article particulier,directive_(eu)_2016_343_en.txt,-,-,-
obligation,empecher le public,interet public,directive_(eu)_2016_343_en.txt,-,publicite,interet:publicite
s'assurer que les suspects,article,Contrainte physique,directive_(eu)_2016_343_en.txt,-,-,contrat
ce,prevenir,tiers,directive_(eu)_2016_343_en.txt,-,-,-
fardeau,assurer,est en cours,directive_(eu)_2016_343_en.txt,-,-,-
ce,etre sans,loi nationale,directive_(eu)_2016_343_en.txt,-,-,loi:nationalisme:nationalite
evalue la personne,assurer,le suspect est une personne,directive_(eu)_2016_343_en.txt,personnel,-,personnel
ils,assurer,ce,directive_(eu)_2016_343_en.txt,-,-,-
suspects,assurer,s'incriminer,directive_(eu)_2016_343_en.txt,-,-,-
qui,prevenir,des suspects,directive_(eu)_2016_343_en.txt,-,-,-
autorites judiciaires,permettre,des suspects,directive_(eu)_2016_343_en.txt,-,-,-
pas eux,utilise contre,infraction penale,directive_(eu)_2016_343_en.txt,-,-,inflation:information:infraction
-,droite,present au proces actuel,directive_(eu)_2016_343_en.txt,-,-,-
suspects,assurer,leur proces actuel,directive_(eu)_2016_343_en.txt,-,-,-
OMS,fournir,Etat,directive_(eu)_2016_343_en.txt,-,fournisseur,-
qui,applique contre,contre personne,directive_(eu)_2016_343_en.txt,-,-,personnel
efforts raisonnables,prevoir,de l'article,directive_(eu)_2016_343_en.txt,-,-,-
decision,fournir,-,directive_(eu)_2016_343_en.txt,decision,fournisseur,-
ils ont apprehende,assurer,avec articles,directive_(eu)_2016_343_en.txt,-,-,-
a condition que cela,etre sans,proces equitable,directive_(eu)_2016_343_en.txt,-,-,-
decision initiale,assurer,nouvelle preuve,directive_(eu)_2016_343_en.txt,decision,-,preuve
suspects,assurer,de defense,directive_(eu)_2016_343_en.txt,-,-,depense
leurs droits,assurer,sous directive,directive_(eu)_2016_343_en.txt,-,-,directive
droits,assurer,de la procedure,directive_(eu)_2016_343_en.txt,-,-,-
comment les droits,rapport,dans la directive,directive_(eu)_2016_343_en.txt,-,rapport,directive
commission,soumettre,de directive,directive_(eu)_2016_343_en.txt,commissionnaire,-,directive
qui,interprete comme,de protection,directive_(eu)_2016_343_en.txt,-,interet:commune,protectionnisme
Etats membres,Amener dans,1er avril,directive_(eu)_2016_343_en.txt,-,amende,-
ils,informer,commission immediate,directive_(eu)_2016_343_en.txt,-,-,commissionnaire
ils,contenir,publication officielle,directive_(eu)_2016_343_en.txt,-,conteneur,publication
methodes,pose,Etats membres,directive_(eu)_2016_343_en.txt,-,-,-
ils,communiquer a,directive couverte,directive_(eu)_2016_343_en.txt,-,commune,directive
directif,entrer dans,de l'union europeenne,directive_(eu)_2016_343_en.txt,directive,-,-
16 destinataires,adressee a,avec des traites,directive_(eu)_2016_343_en.txt,-,-,-
-,fait a,a strasbourg,directive_(eu)_2016_343_en.txt,-,-,-
-,president,pour le conseil,directive_(eu)_2016_343_en.txt,-,-,-
OMS,directives,integration sociale - delinquance,directive_(eu)_2016_800_en.txt,-,directive,socialisme:delinquance:integration sociale
directive accuse,objectifs,affaires criminelles,directive_(eu)_2016_800_en.txt,directive:accise,-,-
regles minimales,retirer,des Etats membres,directive_(eu)_2016_800_en.txt,-,-,-
ce,montre,autres Etats membres,directive_(eu)_2016_800_en.txt,-,-,-
conseil de 2009,adopte,3 feuille de route,directive_(eu)_2016_800_en.txt,-,-,-
OMS,appels pour,personnes soupconnees de mesure,directive_(eu)_2016_800_en.txt,-,-,personnel
feuille de route,souligne,1 jo c,directive_(eu)_2016_800_en.txt,-,-,-
-,position de,21 avril,directive_(eu)_2016_800_en.txt,-,position dominante,-
-,c,-,directive_(eu)_2016_800_en.txt,-,-,-
donc indicatif,-,avec des priorites,directive_(eu)_2016_800_en.txt,don,-,-
ses avantages,experimente dans,comme concu ensemble,directive_(eu)_2016_800_en.txt,-,-,commune
il,accueilli,au service des citoyens,directive_(eu)_2016_800_en.txt,-,-,service
autres issues,souligne,dans la zone,directive_(eu)_2016_800_en.txt,-,-,-
quatre mesures,adopte en vertu,du parlement europeen,directive_(eu)_2016_800_en.txt,-,-,parlement:parlementaire:Parlement europeen:parlementaire europeen
7 directive,favorise,justice amicale,directive_(eu)_2016_800_en.txt,directive,-,-
meilleurs interets,assurer,de l'union europeenne,directive_(eu)_2016_800_en.txt,interet,-,-
OMS,donne en particulier,dans la societe,directive_(eu)_2016_800_en.txt,-,-,societe
OMS,postuler a,enfants,directive_(eu)_2016_800_en.txt,-,-,enfant
dispositions pertinentes,postuler a partir de,Etat membre d'execution,directive_(eu)_2016_800_en.txt,-,-,-
ou l'application,postuler a,de personne,directive_(eu)_2016_800_en.txt,-,-,personnel
qui,encourage,de 18,directive_(eu)_2016_800_en.txt,-,-,-
une telle preuve,determiner,etat civil,directive_(eu)_2016_800_en.txt,preuve,-,etat civil
examen medical,porte,droits de l'enfant,directive_(eu)_2016_800_en.txt,examen:examen medical,-,droits de lenfant
personne,presume,de directive,directive_(eu)_2016_800_en.txt,personnel,-,directive
-,directif,procedure penale,directive_(eu)_2016_800_en.txt,-,directive,procedure penale:procedure speciale
tierce personne,directif,autorites consulaires,directive_(eu)_2016_800_en.txt,personnel,directive,-
-,decision,entre les Etats membres,directive_(eu)_2016_800_en.txt,-,decision,-
14 directive,appliquer dans,infractions mineures,directive_(eu)_2016_800_en.txt,directive,-,infraction
OMS,appliquer,de liberte,directive_(eu)_2016_800_en.txt,-,-,-
autorite,a,infractions mineures,directive_(eu)_2016_800_en.txt,autoroute,-,infraction
qui,etre,apres le controle du trafic,directive_(eu)_2016_800_en.txt,-,-,-
autorites deraisonnables competentes,etre deraisonnable,sous directive,directive_(eu)_2016_800_en.txt,-,-,directive
directif,appliquer,apres appel,directive_(eu)_2016_800_en.txt,directive,-,-
infractions mineures,considere,reglements municipaux,directive_(eu)_2016_800_en.txt,infraction,-,reglement
directif,appliquer,affaires criminelles,directive_(eu)_2016_800_en.txt,directive,-,-
17 directive,appliquer,procedure penale,directive_(eu)_2016_800_en.txt,directive,-,procedure penale:procedure speciale
qui,appliquer a d'autres,Mesures protectives,directive_(eu)_2016_800_en.txt,-,-,-
18 directive,mis en oeuvre,des directives,directive_(eu)_2016_800_en.txt,directive,mais,directive
directif,prevoit plus loin,des enfants,directive_(eu)_2016_800_en.txt,directive,lin:loi,enfant
19 enfants,recevoir,de la procedure,directive_(eu)_2016_800_en.txt,enfant,-,-
loin ce,donne,des autorites,directive_(eu)_2016_800_en.txt,lin:loi,-,-
